Obs_Id,lagoslakeid,ActivityStartDate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodIdentifier,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
SD-244464,344386,1991-08-26,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",PH FALLING,"LAKE ANDES ABOVE RAVINIA, SD"
SD-159216,347732,1991-08-26,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,510,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-62024,344386,1991-09-23,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE RAVINIA, SD"
SD-30182,347732,1991-09-23,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-179849,344386,1991-09-23,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",PH FALLING,"LAKE ANDES ABOVE LAKE ANDES, SD"
SD-819412,347512,1991-10-10,NA,DENR,Chlorophyll a,"Chlorophyll a, corrected for pheophytin",-1366.97,-1366.970,ppb,1,-1366.97,APHA,10200-H,NA,NA,SWLAZZZ5802
TX-253853,448476,1991-10-17,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,USGS,PLA11,"USGS OF 93-125, p 101",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-277432,448476,1991-10-17,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-641125,347732,1991-11-14,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,410,410,mg/l,1,410,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",SC DUP'D - BTLS OK,"OWENS BAY NEAR RAVINIA, SD"
SD-377812,344386,1991-11-14,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE LAKE ANDES, SD"
TX-1312918,448476,1992-01-15,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,550,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
SD-647635,344386,1992-02-25,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE LAKE ANDES, SD"
SD-191485,347732,1992-04-22,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
TX-102943,448476,1992-04-22,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,510,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
SD-202477,344386,1992-06-30,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,810,810,mg/l,1,810,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BTLS OK  RR PH VALUE DROPPING,"LAKE ANDES ABOVE RAVINIA, SD"
SD-247073,344386,1992-06-30,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,510,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",RR PH  VALUE DROPPING,"LAKE ANDES NEAR RAVINIA, SD"
SD-227537,347732,1992-06-30,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,550,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BTLS OK  PH RR  VALUE DROPPING,"OWENS BAY NEAR RAVINIA, SD"
SD-25953,344386,1992-06-30,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,470,470,mg/l,1,470,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE LAKE ANDES, SD"
TX-196298,448476,1992-07-22,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",CATIONS RR  VALUES DUP'ED,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
SD-168941,344386,1992-08-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",RR PH = 6.9,"LAKE ANDES ABOVE RAVINIA, SD"
SD-175778,344386,1992-08-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",RR PH = 6.5,"LAKE ANDES NEAR RAVINIA, SD"
SD-102133,347732,1992-08-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-103857,344386,1992-08-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,500,500,mg/l,1,500,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BLTS OK PH RR  VALUE DUP'ED,"LAKE ANDES ABOVE LAKE ANDES, SD"
SD-100806,344386,1992-09-16,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BOTTLES OK,"LAKE ANDES NEAR RAVINIA, SD"
SD-23473,347732,1992-09-16,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-221813,344386,1992-09-16,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE LAKE ANDES, SD"
TX-555753,448476,1992-10-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
SD-297252,344386,1992-11-18,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE RAVINIA, SD"
SD-556066,344386,1992-11-18,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",SPC RERUN VALUES DUP'ED,"LAKE ANDES NEAR RAVINIA, SD"
SD-657713,347732,1992-11-18,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-635658,344386,1992-11-18,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",SPC RERUN VALUES DUP'ED,"LAKE ANDES ABOVE LAKE ANDES, SD"
TX-1195477,448476,1993-01-22,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
SD-447629,344386,1993-02-17,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BOTTLES OK,"LAKE ANDES NEAR RAVINIA, SD"
TX-773602,448476,1993-04-20,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
FL-4249975,196849,1993-05-28,NA,South Florida Water Management District,"Nitrogen, total Kjeldahl",Kjeldahl nitrogen,345010,345.01,mg/l,1000,345010,21FLSFWM,WQ-1,NA,NA,LAKE OKEECHOBEE TOWER WEST (#5)
FL-4592476,196849,1993-06-01,NA,South Florida Water Management District,"Nitrogen, total Kjeldahl",Kjeldahl nitrogen,176180,176.18,mg/l,1000,176180,21FLSFWM,WQ-1,NA,NA,LAKE OKEECHOBEE TOWER NORTH (#2)
UT-184335,453081,1993-09-07,NA,Utah Department Of Environmental Quality,"pH, field or lab",pH,36,36.0,None,1,36,UTAHDWQ_WQX,FIELD MEASURES,NA,NA,LAKE POWELL (DOCKS) BULLFROG MARINA BFMAR-1
SD-848595,353133,1993-09-16,NA,DENR,Chlorophyll a,"Chlorophyll a, corrected for pheophytin",-1332.29,-1332.290,ppb,1,-1332.29,APHA,10200-H,NA,NA,SWLAZZZ2606
SD-325540,356001,1993-10-19,NA,DENR,Secchi,"Depth, Secchi disk depth",-1.371,-1.371,m,1,-1.371,SDDENR_WQX,UNKOWN,NA,NA,PELICANPL07
OK-282453,398303,1993-12-14,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,2930800000,2930.8,mho/cm,1000000,2930800000,NA,NA,NA,NA,McCarty Creek Allens Lake
SD-551672,356001,1994-01-31,NA,DENR,Secchi,"Depth, Secchi disk depth",-1.219,-1.219,m,1,-1.219,SDDENR_WQX,UNKOWN,NA,NA,PELICANPL07
WY-53102,357735,1994-02-15,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"RASMUS LEE LK NR ISLAND ON EAST END, NR GOOSE EGG"
SD-637067,344386,1994-02-16,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"LAKE ANDES ABOVE LAKE ANDES, SD"
SD-344508,356001,1994-02-22,NA,DENR,Secchi,"Depth, Secchi disk depth",-2.346,-2.346,m,1,-2.346,SDDENR_WQX,UNKOWN,NA,NA,PELICANPL07
TX-542886,448476,1994-04-28,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,580,580,mg/l,1,580,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-718976,448476,1994-04-28,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-530001,356001,1994-06-20,NA,DENR,Secchi,"Depth, Secchi disk depth",-1.524,-1.524,m,1,-1.524,SDDENR_WQX,UNKOWN,NA,NA,PELICANPL07
UT-602138,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM N OF LUCIN CAUSWAY E CULVERT
UT-574795,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM N OF LUCIN CAUSWAY E CULVERT
UT-799939,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-645667,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-639333,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-706291,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM NML NW ROZEL POINT
UT-846052,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM NML NW ROZEL POINT
UT-480469,455356,1994-06-22,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM NML NW ROZEL POINT
AR-241646,393135,1994-07-20,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1800000,1800,mg/l as N,1000,1800000,USGS,CL045,"USGS OF 93-125, p 157",FC BOTTLE POSSIBLY PRESERVED WITH HN,"LAKE MAUMELLE DS FROM TWIN CREEK NEAR WYE, AR"
WY-24771,357735,1994-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"RASMUS LEE LK NR ISLAND ON EAST END, NR GOOSE EGG"
WY-22884,357735,1994-10-07,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,PLA11,"USGS OF 93-125, p 101",No RAH bottle,"Rasmus Lee Lake near Casper, WY (N-1/2 composite)"
TX-456505,448476,1994-10-13,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-489374,344386,1994-12-06,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Oxygen, dissolved",Oxygen,31.1,31.1,mg/l,1,31.1,NA,NA,NA,NA,"LAKE ANDES NEAR RAVINIA, SD"
WY-54433,357735,1994-12-12,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"RASMUS LEE LK NR ISLAND ON EAST END, NR GOOSE EGG"
SD-638010,344386,1995-02-08,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Oxygen, dissolved",Oxygen,31,31.0,mg/l,1,31,NA,NA,NA,NA,"LAKE ANDES NEAR RAVINIA, SD"
TX-409125,448476,1995-04-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
FL-3599507,184266,1995-04-24,NA,Orange County Environmental Protection (Florida),"Oxygen, dissolved",Dissolved oxygen (DO),424,424,mg/l,1,424,USEPA,360.2,NA,NA,Apopka (Gourd Neck Springs)
NC-864104,163043,1995-06-22,NA,NCDENR-DWQ,"Oxygen, dissolved",Dissolved oxygen (DO),27.2,27.2,mg/l,1,27.2,21NC01WQ,UNKNOWN,NA,X-sec location horizontal: 70.0% from R bank facing upstream,MOUNTAIN ISLAND LAKE ABOVE GAR CRK NR CROFT
NV-38585,456946,1995-06-29,U.S. Geological Survey-Water Resources Discipline,USGS Nevada Water Science Center,Alkalinity,Alkalinity,34900,34900,mg/l CaCO3,1,34900,NA,NA,NA,NA,POND-STILLWATER WMA SE INDIAN LAKES  RD
NV-52338,456946,1995-06-29,U.S. Geological Survey-Water Resources Discipline,USGS Nevada Water Science Center,"Arsenic, dissolved",Arsenic,29000,29000,ug/l,1,29000,USGS,HY010,"USGS TWRI 5-A1/1989, p 77",NA,POND-STILLWATER WMA SE INDIAN LAKES  RD
AR-423510,393135,1995-07-24,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Oxygen, dissolved",Oxygen,315,315,mg/l,1,315,NA,NA,NA,NA,"LAKE MAUMELLE DS FROM TWIN CREEK NEAR WYE, AR"
WY-23511,357735,1995-09-07,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,510,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BOTTLES OK,"RASMUS LEE LK NR ISLAND ON EAST END, NR GOOSE EGG"
WY-39142,357735,1995-09-07,U.S. Geological Survey-Water Resources Discipline,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BOTTLES OK; SP CONDUCTANCE RERUN--DU,"RASMUS LEE LAKE NEAR GOOSE EGG, WY"
FL-3754854,195573,1995-12-06,NA,South Florida Water Management District,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrate as N,198000,198,mg/l,1000,198000,21FLSFWM,WQ-1,NA,NA,IN LAKE ISTOKPOGA HALF WAY BETWEEN     BUMBLEBEE ISLAND AND
CA-166650,483334,1996-05-31,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,820,820,mg/l,1,820,USGS,PLA11,"USGS OF 93-125, p 101",NA,SALTON SEA NR WESTMORLAND CA
FL-4075100,202371,1996-07-02,NA,Orange County Environmental Protection (Florida),"Arsenic, total",Arsenic,1000000,1000,mg/l,1000,1000000,USEPA,200.7(W),NA,NA,Olive
UT-295191,455786,1996-07-02,NA,Utah Department Of Environmental Quality,"pH, field or lab",pH,30.8,30.8,None,1,30.8,UTAHDWQ_WQX,FIELD MEASURES,NA,NA,FARMINGTON BAY 1 MILE SOUTH OF CAUSEWAY BRIDGE 01
FL-3179414,184266,1996-07-31,NA,Orange County Environmental Protection (Florida),"Phosphorus, soluble reactive orthophosphate",Phosphorus,164000,164,mg/l,1000,164000,USEPA,365.1,NA,NA,Apopka (Middle)
ID-201373,464745,1996-09-16,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7600000,7.6,mho/cm,1000000,7600000,NA,NA,NA,NA,NA
ID-210596,464745,1996-09-17,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7600000,7.6,mho/cm,1000000,7600000,NA,NA,NA,NA,NA
ID-201375,464745,1996-09-18,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7600000,7.6,mho/cm,1000000,7600000,NA,NA,NA,NA,NA
ID-202331,464745,1996-09-19,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7700000,7.7,mho/cm,1000000,7700000,NA,NA,NA,NA,NA
ID-211083,464745,1996-09-20,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7700000,7.7,mho/cm,1000000,7700000,NA,NA,NA,NA,NA
ID-196701,464745,1996-09-21,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7800000,7.8,mho/cm,1000000,7800000,NA,NA,NA,NA,NA
ID-217161,464745,1996-09-22,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,7800000,7.8,mho/cm,1000000,7800000,NA,NA,NA,NA,NA
ID-195909,464745,1996-09-23,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,8000000,8,mho/cm,1000000,8000000,NA,NA,NA,NA,NA
ID-219317,464745,1996-09-24,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,8000000,8,mho/cm,1000000,8000000,NA,NA,NA,NA,NA
ID-220084,464745,1996-09-25,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,8300000.000000001,8.3,mho/cm,1000000,8300000.000000001,NA,NA,NA,NA,NA
ID-197792,464745,1996-09-26,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,8500000,8.5,mho/cm,1000000,8500000,NA,NA,NA,NA,NA
ID-200730,464745,1996-09-27,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,8700000,8.7,mho/cm,1000000,8700000,NA,NA,NA,NA,NA
UT-541377,455356,1996-10-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,404,404,mg/l,1,404,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-679241,455356,1996-10-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,424,424,mg/l,1,424,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-542803,455356,1996-10-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,414,414,mg/l,1,414,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM RD LINE (UGS) #2
UT-396372,455356,1996-10-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,525,525,mg/l,1,525,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM RD LINE (UGS) #2
SD-633277,347732,1997-02-10,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,PLA11,"USGS OF 93-125, p 101",NA,"OWENS BAY NEAR RAVINIA, SD"
FL-4971897,184964,1997-04-15,NA,Orange County Environmental Protection (Florida),"Selenium, total",Selenium,100000,100,mg/l,1000,100000,USEPA,200.7(W),NA,NA,Irma
UT-411165,455356,1997-07-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,453,453,mg/l,1,453,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM RD LINE (UGS) #2
UT-992743,455356,1997-07-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,469,469,mg/l,1,469,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM RD LINE (UGS) #2
ND-254923,315747,1997-07-28,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Oxygen, dissolved",Oxygen,27.2,27.2,mg/l,1,27.2,NA,NA,NA,NA,"WESTERN STUMP LAKE NR LAKOTA, ND"
OK-274597,388983,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,200000000,200,mho/cm,1000000,200000000,NA,NA,NA,NA,Private lake
OK-237448,390596,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,200000000,200,mho/cm,1000000,200000000,NA,NA,NA,NA,Coon Creek lake
OK-259615,390390,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,200000000,200,mho/cm,1000000,200000000,NA,NA,NA,NA,Lake Wewoka
OK-153694,390390,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,100000000,100,mho/cm,1000000,100000000,NA,NA,NA,NA,Lake Wewoka
OK-271738,390390,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,200000000,200,mho/cm,1000000,200000000,NA,NA,NA,NA,Lake Wewoka
OK-207230,389471,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,1100000000,1100,mho/cm,1000000,1100000000,NA,NA,NA,NA,Private lake
OK-148677,388976,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,1100000000,1100,mho/cm,1000000,1100000000,NA,NA,NA,NA,Carter lake on Carter Creek
OK-147008,388261,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,700000000,700,mho/cm,1000000,700000000,NA,NA,NA,NA,Lake Konawa West Arm
OK-234169,388261,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,600000000,600,mho/cm,1000000,600000000,NA,NA,NA,NA,Lake Konawa
OK-204923,388261,1998-01-01,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,700000000,700,mho/cm,1000000,700000000,NA,NA,NA,NA,Lake Konawa
CO-799071,360793,1998-08-04,U.S. Geological Survey-Water Resources Discipline,USGS Colorado Water Science Center,"Oxygen, dissolved",Oxygen,51,51,mg/l,1,51,NA,NA,NA,NA,"HORSETOOTH RESERVOIR NEAR FORT COLLINS, CO."
FL-4140472,214354,1998-08-05,NA,Suwannee River Water Management District (Florida),"Oxygen, dissolved",Dissolved oxygen (DO),31.2,31.2,mg/l,1,31.2,USEPA,360.1,NA,NA,ALLIGATOR LAKE S LOBE SE OF RADIO TWR MID LAKE
FL-4046336,189767,1998-08-10,NA,Florida Fish and Wildlife Conservation Commission,"Oxygen, dissolved",Dissolved oxygen (DO),84,84,mg/l,1,84,APHA,4500-O-G,NA,NA,Newnans Lake Station 3
SD-653761,347732,1998-12-09,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,457,457,mg/l,1,457,USGS,PLA11,"USGS OF 93-125, p 101",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-728798,344561,1999-07-27,NA,DENR,"Oxygen, dissolved",Dissolved oxygen (DO),25.05,25.05,mg/l,1,25.05,SDDENR_WQX,UNKOWN,NA,NA,FREEMANT04A
OK-278482,381131,1999-07-29,NA,Oklahoma Corporation Commission,Conductivity,Specific conductance,3060000000,3060,mho/cm,1000000,3060000000,NA,NA,NA,NA,Great Salt Plains Lake
KY-180365,261000,1999-08-02,NA,Kentucky Division of Water,Secchi,"Depth, Secchi disk depth",762,762,m,1,762,21KY,SECCHI DISK,NA,NA,A.J. JOLLY LAKE - DAM
