"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"562","Phosphorus, total","ug/l",NA,"USEPA 365.4","Total Phosphorus After Block Digestion",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423670","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Total",39,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"365.4","USEPA","https://www.nemi.gov/methods/method_summary/5313/",NA,NA,"39","STORET","2009-11-04 16:00:00",NA,"NM-40485","NM","40485","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Phosphorus","0.039","mg/l",NA,NA,"1000","1000","EPA 365.4",2009-11-04,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"563","Potassium","mg/l",NA,"USEPA 200.7","Metals in Water by ICP-AES",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423669","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Total",1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200.7","USEPA","https://www.nemi.gov/methods/method_summary/4690/",NA,NA,"1","STORET","2009-11-04 16:00:00",NA,"NM-38959","NM","38959","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Potassium","1","mg/l",NA,NA,"1","1","EPA 200.7",2009-11-04,NA,29,-10,15000,"k_mgl","UNKNOWN",NA,"UNKNOWN"
"564","Selenium, dissolved","ug/l",NA,"USEPA 200.9","Metals by Temperature Stabilized GFAA",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423673","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Dissolved",5,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200.9","USEPA","https://www.nemi.gov/methods/method_summary/4797/",NA,NA,"5","STORET","2009-11-04 16:00:00",NA,"NM-43254","NM","43254","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Selenium","0.005","mg/l",NA,NA,"1000","1000","EPA 200.9",2009-11-04,NA,45,-1000,30000,"d_se_ugl","UNKNOWN",NA,"UNKNOWN"
"565","Selenium, total","ug/l",NA,"USEPA 200.9","Metals by Temperature Stabilized GFAA",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423672","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Total",5,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200.9","USEPA","https://www.nemi.gov/methods/method_summary/4797/",NA,NA,"5","STORET","2009-11-04 16:00:00",NA,"NM-42733","NM","42733","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Selenium","0.005","mg/l",NA,NA,"1000","1000","EPA 200.9",2009-11-04,NA,44,-1000,30000,"t_se_ugl","UNKNOWN",NA,"UNKNOWN"
"566","Sodium","mg/l",NA,"USEPA 200.7","Metals in Water by ICP-AES",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423669","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Total",3.04999995,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200.7","USEPA","https://www.nemi.gov/methods/method_summary/4690/",NA,NA,"3.04999995","STORET","2009-11-04 16:00:00",NA,"NM-35934","NM","35934","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Sodium","3.04999995","mg/l",NA,NA,"1","1","EPA 200.7",2009-11-04,NA,32,-10,1000000,"na_mgl","UNKNOWN",NA,"UNKNOWN"
"567","Solids, total suspended","mg/l",NA,"USEPA 160.1","Filterable Residue - TDS",NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2423669","Sample-Routine","2009-11-04","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-28SantaCruzDp",NA,"NM_SWQB_QAPP","21NMEX_WQX","NM Surface Water Quality Bureau QAPP","Water Bottle",NA,"Total",90,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"160.1","USEPA","https://www.nemi.gov/methods/method_summary/5212/",NA,NA,"90","STORET","2009-11-04 16:00:00",NA,"NM-30521","NM","30521","Santa Cruz Lake (deep) - 28SantaCruzDp","STORET","447737","Total dissolved solids","90","mg/l",NA,NA,"1","1","EPA 160.1; TDS Residue, Filterable, 180 deg. C",2009-11-04,NA,33,-10,1000000,"tss_mgl","UNKNOWN",NA,"UNKNOWN"
"568","E. coli-CFU","CFU",NA,"APHA 9223-B","9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test)",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040612","Field Msr/Obs","2011-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",4,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9223-B","APHA","https://www.nemi.gov/methods/method_summary/5583/",NA,"Method Detection Level","4","STORET",NA,NA,"CO-957509","CO","957509","Lake Outlet - Surface","STORET","359515","Escherichia coli","4","cfu/100ml",NA,NA,"1","1","APHA 9223-B",2011-03-10,NA,52,0,100000,"ecoli_cfu100ml","UNKNOWN",NA,"UNKNOWN"
"569","Oxygen, dissolved","mg/l",NA,"ASTM D888(B)","D888 B  ~ Dissolved Oxygen by Instrumental Probe",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040612","Field Msr/Obs","2011-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",11.3,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D888(B)","ASTM","https://www.nemi.gov/methods/method_summary/9814/",NA,"Method Detection Level","11.3","STORET",NA,NA,"CO-961629","CO","961629","Lake Outlet - Surface","STORET","359515","Dissolved oxygen (DO)","11.3","mg/l",NA,NA,"1","1","ASTM D888",2011-03-10,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"570","pH, field or lab","pH",NA,"USEPA 150.1","pH",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040612","Field Msr/Obs","2011-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",8.2,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.1","USEPA","https://www.nemi.gov/methods/method_summary/4685/",NA,"Method Detection Level","8.2","STORET",NA,NA,"CO-980388","CO","980388","Lake Outlet - Surface","STORET","359515","pH","8.2","None",NA,NA,"1","1","EPA 150.1; pH, Electrometric Method",2011-03-10,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"571","Conductivity","uS/cm",NA,"USEPA 9050","Specific Conductance",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040623","Field Msr/Obs","2011-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",329000,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9050","USEPA",NA,NA,"Method Detection Level","329000","STORET",NA,NA,"CO-955921","CO","955921","Lake Outlet - Surface","STORET","359515","Conductivity","329","mS/cm",NA,NA,"1000","1000","EPA 9050",2011-03-21,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"572","Oxygen, dissolved","mg/l",NA,"ASTM D888(B)","D888 B  ~ Dissolved Oxygen by Instrumental Probe",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040623","Field Msr/Obs","2011-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",10.8,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D888(B)","ASTM","https://www.nemi.gov/methods/method_summary/9814/",NA,"Method Detection Level","10.8","STORET",NA,NA,"CO-972672","CO","972672","Lake Outlet - Surface","STORET","359515","Dissolved oxygen (DO)","10.8","mg/l",NA,NA,"1","1","ASTM D888",2011-03-21,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"573","pH, field or lab","pH",NA,"USEPA 150.1","pH",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040623","Field Msr/Obs","2011-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",8,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.1","USEPA","https://www.nemi.gov/methods/method_summary/4685/",NA,"Method Detection Level","8","STORET",NA,NA,"CO-976796","CO","976796","Lake Outlet - Surface","STORET","359515","pH","8","None",NA,NA,"1","1","EPA 150.1; pH, Electrometric Method",2011-03-21,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"574","Arsenic, dissolved","ug/l",NA,"NA NA",NA,NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2440071","Sample-Routine","2011-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-75McGaffyLkDp","Data was collected from shore.  SHOULD NOT BE USED FOR ASSESSMENT!.   At upper end of lake = wetland area with grasses and reeds, wetland area below dam also (seepage).  No visiable (surface) inflow or outflow.  Collected surface/just below because no easy access for boat launch.","Chem-01","NMENV-SWQB","Chemistry - Sample","Kemmerer Bottle",NA,"Dissolved",2,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","STORET",NA,NA,"NM-85795","NM","85795","McGaffey Lake (deep) - 75McGaffyLkDp","STORET","453988","Arsenic","0.002","mg/l",NA,NA,"1000","1000","methods_unknown",2011-04-05,NA,41,-1000,5000,"d_as_ugl","UNKNOWN",NA,"UNKNOWN"
"575","Calcium, dissolved","mg/l",NA,"NA NA",NA,NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2440071","Sample-Routine","2011-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-75McGaffyLkDp","Data was collected from shore.  SHOULD NOT BE USED FOR ASSESSMENT!.   At upper end of lake = wetland area with grasses and reeds, wetland area below dam also (seepage).  No visiable (surface) inflow or outflow.  Collected surface/just below because no easy access for boat launch.","Chem-01","NMENV-SWQB","Chemistry - Sample","Kemmerer Bottle",NA,"Dissolved",41,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","STORET",NA,NA,"NM-75453","NM","75453","McGaffey Lake (deep) - 75McGaffyLkDp","STORET","453988","Calcium","41","mg/l",NA,NA,"1","1","methods_unknown",2011-04-05,NA,3,-10,400,"ca_mgl","UNKNOWN",NA,"UNKNOWN"
"576","Magnesium, dissolved","mg/l",NA,"NA NA",NA,NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2440071","Sample-Routine","2011-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-75McGaffyLkDp","Data was collected from shore.  SHOULD NOT BE USED FOR ASSESSMENT!.   At upper end of lake = wetland area with grasses and reeds, wetland area below dam also (seepage).  No visiable (surface) inflow or outflow.  Collected surface/just below because no easy access for boat launch.","Chem-01","NMENV-SWQB","Chemistry - Sample","Kemmerer Bottle",NA,"Dissolved",11,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","STORET",NA,NA,"NM-71152","NM","71152","McGaffey Lake (deep) - 75McGaffyLkDp","STORET","453988","Magnesium","11","mg/l",NA,NA,"1","1","methods_unknown",2011-04-05,NA,14,-10,20000,"mg_mgl","UNKNOWN",NA,"UNKNOWN"
"577","Nitrogen, total Kjeldahl","ug/l",NA,"NA NA",NA,NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2440068","Sample-Routine","2011-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-75McGaffyLkDp","Data was collected from shore.  SHOULD NOT BE USED FOR ASSESSMENT!.   At upper end of lake = wetland area with grasses and reeds, wetland area below dam also (seepage).  No visiable (surface) inflow or outflow.  Collected surface/just below because no easy access for boat launch.","Chem-01","NMENV-SWQB","Chemistry - Sample","Kemmerer Bottle",NA,"Total",750,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"nil",NA,NA,NA,NA,NA,NA,NA,NA,"750","STORET",NA,NA,"NM-71699","NM","71699","McGaffey Lake (deep) - 75McGaffyLkDp","STORET","453988","Kjeldahl nitrogen","0.75","mg/l",NA,NA,"1000","1000","methods_unknown",2011-04-05,NA,16,-1000,100000,"tkn_ugl","UNKNOWN",NA,"UNKNOWN"
"578","Solids, total suspended","mg/l",NA,"NA NA",NA,NA,"21NMEX_WQX","NM Environmental Dept./SWQB","21NMEX_WQX-2440067","Sample-Routine","2011-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21NMEX_WQX-75McGaffyLkDp","Data was collected from shore.  SHOULD NOT BE USED FOR ASSESSMENT!.   At upper end of lake = wetland area with grasses and reeds, wetland area below dam also (seepage).  No visiable (surface) inflow or outflow.  Collected surface/just below because no easy access for boat launch.","Chem-01","NMENV-SWQB","Chemistry - Sample","Kemmerer Bottle",NA,"Total",8,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","STORET",NA,NA,"NM-54054","NM","54054","McGaffey Lake (deep) - 75McGaffyLkDp","STORET","453988","Total suspended solids","8","mg/l",NA,NA,"1","1","methods_unknown",2011-04-05,NA,33,-10,1000000,"tss_mgl","UNKNOWN",NA,"UNKNOWN"
"579","Conductivity","uS/cm",NA,"USEPA 9050","Specific Conductance",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040639","Field Msr/Obs","2011-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",333000,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9050","USEPA",NA,NA,"Method Detection Level","333000","STORET",NA,NA,"CO-956311","CO","956311","Lake Outlet - Surface","STORET","359515","Conductivity","333","mS/cm",NA,NA,"1000","1000","EPA 9050",2011-04-06,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"580","E. coli-CFU","CFU",NA,"APHA 9223-B","9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test)",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040639","Field Msr/Obs","2011-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9223-B","APHA","https://www.nemi.gov/methods/method_summary/5583/",NA,"Method Detection Level","1","STORET",NA,NA,"CO-951914","CO","951914","Lake Outlet - Surface","STORET","359515","Escherichia coli","1","cfu/100ml",NA,NA,"1","1","APHA 9223-B",2011-04-06,NA,52,0,100000,"ecoli_cfu100ml","UNKNOWN",NA,"UNKNOWN"
"581","Oxygen, dissolved","mg/l",NA,"ASTM D888(B)","D888 B  ~ Dissolved Oxygen by Instrumental Probe",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040639","Field Msr/Obs","2011-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",10.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D888(B)","ASTM","https://www.nemi.gov/methods/method_summary/9814/",NA,"Method Detection Level","10.1","STORET",NA,NA,"CO-968864","CO","968864","Lake Outlet - Surface","STORET","359515","Dissolved oxygen (DO)","10.1","mg/l",NA,NA,"1","1","ASTM D888",2011-04-06,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"582","pH, field or lab","pH",NA,"USEPA 150.1","pH",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040639","Field Msr/Obs","2011-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",8.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.1","USEPA","https://www.nemi.gov/methods/method_summary/4685/",NA,"Method Detection Level","8.1","STORET",NA,NA,"CO-954263","CO","954263","Lake Outlet - Surface","STORET","359515","pH","8.1","None",NA,NA,"1","1","EPA 150.1; pH, Electrometric Method",2011-04-06,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"583","Turbidity","NTU",NA,"ASTM D1889","Turbidity of Water",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040639","Field Msr/Obs","2011-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",2.3,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1889","ASTM","https://www.nemi.gov/methods/method_summary/5457/",NA,"Method Detection Level","2.3","STORET",NA,NA,"CO-984173","CO","984173","Lake Outlet - Surface","STORET","359515","Turbidity","2.3","NTU",NA,NA,"1","1","methods_unknown",2011-04-06,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"584","Conductivity","uS/cm",NA,"USEPA 9050","Specific Conductance",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040653","Field Msr/Obs","2011-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",337000,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9050","USEPA",NA,NA,"Method Detection Level","337000","STORET",NA,NA,"CO-979027","CO","979027","Lake Outlet - Surface","STORET","359515","Conductivity","337","mS/cm",NA,NA,"1000","1000","EPA 9050",2011-04-20,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"585","Oxygen, dissolved","mg/l",NA,"ASTM D888(B)","D888 B  ~ Dissolved Oxygen by Instrumental Probe",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040653","Field Msr/Obs","2011-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",9.7,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D888(B)","ASTM","https://www.nemi.gov/methods/method_summary/9814/",NA,"Method Detection Level","9.7","STORET",NA,NA,"CO-967108","CO","967108","Lake Outlet - Surface","STORET","359515","Dissolved oxygen (DO)","9.7","mg/l",NA,NA,"1","1","ASTM D888",2011-04-20,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"586","pH, field or lab","pH",NA,"USEPA 150.1","pH",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040653","Field Msr/Obs","2011-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",8.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.1","USEPA","https://www.nemi.gov/methods/method_summary/4685/",NA,"Method Detection Level","8.1","STORET",NA,NA,"CO-951672","CO","951672","Lake Outlet - Surface","STORET","359515","pH","8.1","None",NA,NA,"1","1","EPA 150.1; pH, Electrometric Method",2011-04-20,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"587","Turbidity","NTU",NA,"ASTM D1889","Turbidity of Water",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040653","Field Msr/Obs","2011-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",1.6,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1889","ASTM","https://www.nemi.gov/methods/method_summary/5457/",NA,"Method Detection Level","1.6","STORET",NA,NA,"CO-973971","CO","973971","Lake Outlet - Surface","STORET","359515","Turbidity","1.6","NTU",NA,NA,"1","1","methods_unknown",2011-04-20,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"588","Conductivity","uS/cm",NA,"USEPA 9050","Specific Conductance",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040665","Field Msr/Obs","2011-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",344000,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9050","USEPA",NA,NA,"Method Detection Level","344000","STORET",NA,NA,"CO-979199","CO","979199","Lake Outlet - Surface","STORET","359515","Conductivity","344","mS/cm",NA,NA,"1000","1000","EPA 9050",2011-05-02,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"589","Oxygen, dissolved","mg/l",NA,"ASTM D888(B)","D888 B  ~ Dissolved Oxygen by Instrumental Probe",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040665","Field Msr/Obs","2011-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",9.6,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D888(B)","ASTM","https://www.nemi.gov/methods/method_summary/9814/",NA,"Method Detection Level","9.6","STORET",NA,NA,"CO-971968","CO","971968","Lake Outlet - Surface","STORET","359515","Dissolved oxygen (DO)","9.6","mg/l",NA,NA,"1","1","ASTM D888",2011-05-02,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"590","pH, field or lab","pH",NA,"USEPA 150.1","pH",NA,"STANDLEY","Standley Lake Watershed Group (Volunteer)","STANDLEY-SL10-0040665","Field Msr/Obs","2011-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standley",NA,"STANDLEY-SL10-00","Standley Lake","Probe","Standley","Multi Probe Sonde","Probe/Sensor",NA,"Total",8.3,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.1","USEPA","https://www.nemi.gov/methods/method_summary/4685/",NA,"Method Detection Level","8.3","STORET",NA,NA,"CO-956904","CO","956904","Lake Outlet - Surface","STORET","359515","pH","8.3","None",NA,NA,"1","1","EPA 150.1; pH, Electrometric Method",2011-05-02,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
